SNo	Rank	Allotted Quota	Allotted Institute	City	Course	Allotted Category	Candidate Category	Remarks
1	1	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2	2	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
3	3	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
4	4	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
5	5	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
6	6	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
7	7	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
8	8	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
9	9	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
10	10	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
11	11	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
12	12	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
13	13	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
14	14	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
15	15	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
16	16	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
17	17	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
18	18	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
19	19	AIQ	B.J. Medical College	Ahmedabad 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
20	20	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
21	21	AIQ	B.J. Medical College	Ahmedabad 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
22	22	AIQ	Government Medical College	Kozhikode 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
23	23	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
24	24	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
25	25	AIQ	Sanjay Gandhi Postgraduate Institute of Medical Sciences	Lucknow 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
26	26	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
27	27	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
28	28	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
29	29	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
30	31	AIQ	B.J. Medical College	Ahmedabad 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
31	32	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
32	33	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
33	34	AIQ	Government Medical College	Thiruvananthapuram 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
34	35	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
35	36	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
36	37	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
37	38	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
38	39	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
39	40	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
40	41	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
41	42	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	EWNO	Allotted
42	43	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
43	44	AIQ	Bangalore Medical College	Bangalore 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
44	47	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
45	48	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
46	49	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
47	50	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	GNNO	Allotted
48	51	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
49	52	AIQ	Government Medical College	Kozhikode 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
50	53	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (GENERAL MEDICINE)	OBC	OBC	Allotted
51	54	AIQ	Government Medical College	Kozhikode 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
52	55	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
53	56	AIQ	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
54	57	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
55	58	AIQ	STANLEY MEDICAL COLLEGE	CHENNAI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	GN	OBC	Allotted
